Filename,MFCC_Mean,MFCC_Var,Chromagram_Mean,Chromagram_Var,Spectral_Centroids_Mean,Spectral_Centroids_Var,Spectral_Rolloff_Mean,Spectral_Rolloff_Var,Zero_Crossing_Rate,RMS_Energy_Mean,RMS_Energy_Var,Spectral_Bandwidth_Mean,Spectral_Bandwidth_Var,Spectral_Contrast_Mean,Spectral_Contrast_Var,Spectral_Flatness_Mean,Spectral_Flatness_Var,Tempo,harmony_mean,harmony_var,precussive_mean,percussive_var,label
./sounds/dance/dance91.wav,0.5138381,0.03240684,0.35947376,0.08476071,3273.4030741369625,572658.824266322,6520.3522389887285,2134835.828121015,0.16755076310952013,0.2364673,0.0072486037,2746.5463994411166,162708.79523299637,23.115383888610943,127.96585332905967,0.046559744,0.0024297745,135.99917763157896,4.7965208e-05,0.03872981,0.00030566138,0.012281806,dance
./sounds/dance/dance92.wav,0.49909163,0.02641004,0.4436907,0.08344273,2875.478122530906,511276.9325392465,5944.298266847405,1704540.4816525024,0.1402445112800155,0.21639685,0.0034138313,2679.104804119797,93630.49034202319,21.48133578801382,128.5106414711445,0.047582593,0.0027118204,95.703125,6.027135e-06,0.0285519,1.0961168e-05,0.009445803,dance
./sounds/dance/dance93.wav,0.50493306,0.03266858,0.31914446,0.088849895,3497.9476466207193,283461.47100942966,7410.571855952496,488135.3302181429,0.17454958700174147,0.21375489,0.0023948748,3055.079556979179,21743.561031955793,22.44688807523733,107.52320854583547,0.063230686,0.0020023556,123.046875,5.7679813e-06,0.023916112,8.1954524e-05,0.009964189,dance
./sounds/dance/dance94.wav,0.505745,0.031872857,0.53800213,0.07382608,3372.355724318007,278216.19676959404,7156.838749945784,651329.8168986796,0.13792844053608605,0.25274774,0.0034879262,3023.6760444796832,52116.42079675235,20.25939162562981,119.3440134419737,0.055897295,0.0017512803,129.19921875,8.0560254e-05,0.0383565,0.00079872523,0.013061919,dance
./sounds/dance/dance95.wav,0.53601027,0.028651934,0.4522965,0.073915094,3709.0066308973373,317237.0631876884,7536.587760618228,742582.9121560719,0.20433134191176472,0.17620693,0.0019284373,3010.1517858344964,41535.949286742296,21.01091902035399,125.11380822038956,0.095415786,0.0024141397,129.19921875,2.9353555e-06,0.0118761,3.43707e-05,0.009191835,dance
./sounds/dance/dance96.wav,0.5126857,0.033419624,0.4610515,0.07909129,2846.7672392204922,212712.89836759653,6155.412779061049,957035.635004568,0.1339564840121904,0.228411,0.0038507576,2797.8811040842306,48714.91735095376,20.411463845121485,114.86308805732058,0.048275925,0.0009945031,123.046875,-3.1730382e-05,0.019885268,0.0001229562,0.01651306,dance
./sounds/dance/dance97.wav,0.5144032,0.033896383,0.4539678,0.082923986,2856.2825547661964,222344.821059758,6070.879956886126,1092423.3448799213,0.13860611576044893,0.24296102,0.003785117,2763.75512374259,58484.30126750347,20.3933789680842,116.86544552710531,0.04904784,0.0010393247,123.046875,-0.0009373003,0.022454115,0.00061657344,0.017780371,dance
./sounds/dance/dance98.wav,0.5069884,0.028863251,0.35589436,0.08644176,2850.5176610774856,364587.1681736909,6487.485771061097,1358242.9750508838,0.12172035240905572,0.23218483,0.002330746,2926.197963138032,68102.22854572054,21.69199875278697,112.68528197681657,0.03715716,0.0008930387,117.45383522727273,-1.2341154e-05,0.021471383,6.520276e-05,0.016216015,dance
./sounds/dance/dance99.wav,0.4872091,0.029890072,0.42690238,0.082016766,2686.5351487630637,186158.04529712052,6140.3128703681305,921704.0684072698,0.09096279085236068,0.20690346,0.0009364353,2836.7440686720834,56395.452646394944,21.100069870626186,114.0698159159789,0.02636537,0.0003243582,161.4990234375,-0.0005954563,0.027206676,-0.0025343345,0.0066894023,dance
./sounds/trot/trot1.wav,0.5343248,0.030312745,0.37468198,0.08686935,2339.2476500593057,719033.30166464,4990.636488970588,2877497.7202246995,0.1133266011996904,0.07186706,0.00031474917,2487.297648017231,179158.91980386013,22.071851340901727,129.42848348542162,0.024752887,0.0010778636,143.5546875,-4.4053195e-07,0.0024879128,8.3468025e-05,0.0012854933,trot
./sounds/trot/trot10.wav,0.49710095,0.027363688,0.31565613,0.08601971,2532.61444960224,322225.574302909,5565.033015673374,1559873.4919264326,0.11871659128289473,0.07478211,0.0006523716,2662.2572739678894,101764.43924610686,23.24763695739578,111.29154729112726,0.019060936,0.0003360003,135.99917763157896,2.1169739e-05,0.003554337,0.00016067066,0.0011874499,trot
./sounds/trot/trot100.wav,0.49935982,0.027076013,0.4081278,0.10200929,3010.427497109103,614925.1825555258,6403.152947676809,2041601.0984575113,0.12870859435468265,0.3280506,0.012999918,2797.7250319140444,135778.62201468588,21.52002899241543,123.99205362975457,0.047606353,0.0026305844,89.10290948275862,-4.2394176e-06,0.070349395,-3.888353e-05,0.022882948,trot
./sounds/trot/trot11.wav,0.5288819,0.03321908,0.3163685,0.08855735,2267.240240773956,242251.47482643998,4927.495204110633,1199061.7979280828,0.09877037780572756,0.08075541,0.00068677764,2466.7258892845994,90342.25522805576,22.847177110960928,120.765264579132,0.015666382,0.00023331185,135.99917763157896,-7.0883e-06,0.004303395,-1.7860295e-05,0.0012959176,trot
./sounds/trot/trot12.wav,0.5184492,0.030850638,0.36782575,0.08805893,2903.8832337438425,462803.2990858375,5673.374027216767,1386251.7402084065,0.17327748585042568,0.077879936,0.000924767,2520.2839002506203,79095.84109410475,22.858726109428698,127.4262441643989,0.04349826,0.0015349594,123.046875,-1.5672516e-07,0.0027080025,5.3465815e-06,0.0023861553,trot
./sounds/trot/trot13.wav,0.48650348,0.028187761,0.3243589,0.08786294,2485.4118317312455,597086.685053746,5290.859673562065,2410384.141260592,0.12285791166795666,0.07048116,0.00047729784,2561.061697988692,160583.16519692692,23.92493134867957,130.15481668344086,0.0225017,0.00086543156,135.99917763157896,-1.7765167e-06,0.00327413,1.751829e-05,0.00091921707,trot
./sounds/trot/trot14.wav,0.5200744,0.030377636,0.3076512,0.089586526,2385.81549290141,209161.81996314746,4991.436484133127,1036944.2461087682,0.1084808255127709,0.10317738,0.00044668745,2548.147729719395,76881.90223266304,24.43910488042645,116.79762941689008,0.013381748,0.00015248921,135.99917763157896,5.273167e-07,0.0075349584,3.7674912e-05,0.0013147147,trot
./sounds/trot/trot15.wav,0.5363304,0.029644594,0.3010805,0.09226363,2379.3475728921,480807.6767704295,5353.3592956354005,1664583.0696908436,0.09674884807952787,0.08437664,0.0010359539,2629.040023273036,98883.46155894501,22.801301950535354,114.1101329081945,0.01903668,0.00064148585,135.99917763157896,1.0108303e-05,0.004829554,0.00017420191,0.0013982896,trot
./sounds/trot/trot16.wav,0.5096201,0.035087194,0.28905973,0.09303849,2164.9566387240134,279668.5382716773,4460.9146921258225,1119729.050692855,0.10051299765383127,0.10036176,0.0014982744,2267.1559885175475,92058.13158287715,23.718843291118134,134.1555121972437,0.0125638265,0.00023057457,135.99917763157896,-6.476242e-07,0.0078434115,-1.6696595e-05,0.0014228409,trot
./sounds/trot/trot17.wav,0.5055144,0.031138185,0.29820782,0.096071035,2148.703629637654,387995.2410832631,4516.21435773631,1353371.5261872539,0.09226474821013932,0.07266974,0.00084287964,2394.6745667718305,94064.38571168338,23.487519146221572,130.48514569171886,0.012251393,0.00035602113,135.99917763157896,-3.3464453e-06,0.004175558,8.864801e-06,0.00084032444,trot
./sounds/trot/trot18.wav,0.49155545,0.032497533,0.29522672,0.09025827,2168.077056678341,277340.0429773405,4408.298343623017,1455256.9845642282,0.10476429469814241,0.08701777,0.0011686262,2317.7274471933265,100494.46476065954,24.127984390449306,154.56994859455034,0.013670942,0.0004292763,123.046875,-1.9638514e-06,0.004493197,-3.4068522e-05,0.0019291941,trot
./sounds/trot/trot19.wav,0.51378274,0.03326365,0.3096311,0.088855565,2533.953490991829,699219.3548022264,4992.336478690983,1916700.9598729566,0.13151432190886223,0.09513788,0.00044538674,2419.3900098239155,119963.08641766,23.838535242265525,109.86846120972075,0.027271176,0.0015051934,129.19921875,7.7559906e-07,0.0058457553,4.9735377e-07,0.001509013,trot
./sounds/trot/trot2.wav,0.4826546,0.027053915,0.3097573,0.08539343,2449.934973136998,299350.2187446263,5286.468033451045,1346116.0037254891,0.1164834226248065,0.061592977,0.00043614878,2541.505487124171,93468.12394321414,23.39418465129226,124.50916167443552,0.020347329,0.00030717492,89.10290948275862,4.7259033e-07,0.0024525558,-4.261697e-06,0.0007436461,trot
./sounds/trot/trot20.wav,0.47658592,0.028337253,0.25478274,0.08977593,2209.564965049285,211912.7807363349,4398.306737374226,833797.9745782856,0.10878316684404024,0.09515737,0.0023603586,2227.5349215324263,64985.92860302337,24.50892819893326,140.85307251797002,0.01047405,0.0001593225,143.5546875,1.4047571e-06,0.007997195,-3.9879887e-05,0.0014909174,trot
./sounds/trot/trot21.wav,0.489405,0.031782746,0.3232918,0.09590221,1890.4601278217817,802917.3003107182,4036.0589278371713,3150483.0501937205,0.078800732875387,0.06781098,0.0007515606,2304.5411910860907,221527.06191932195,23.77330601632825,133.2855524805999,0.009257781,0.0002929178,107.666015625,-1.0948327e-06,0.0028067492,-2.7256292e-05,0.0011504268,trot
./sounds/trot/trot22.wav,0.49315593,0.035241947,0.3364513,0.09167713,2296.429286527087,500245.78705160244,4558.522435238487,1453945.623826292,0.12363833022929567,0.09986528,0.0012643404,2256.6854400516604,109881.6054722926,23.061975480303943,137.77882761846092,0.019400699,0.0009630374,75.99954044117646,5.879643e-07,0.0063248565,-5.89308e-06,0.0021879121,trot
./sounds/trot/trot23.wav,0.5259031,0.029770099,0.32289112,0.09246872,2243.0734023910445,443710.8133869815,5116.002397566757,1885253.4763024794,0.09115666723103716,0.10493741,0.0007932672,2584.5185148848805,96362.42276285753,22.72834755775081,125.93204240711398,0.0144950375,0.00034872748,135.99917763157896,6.6882865e-07,0.006695585,4.298704e-06,0.0021374759,trot
./sounds/trot/trot24.wav,0.51560336,0.032500003,0.32817236,0.088349156,2555.2899547056145,556388.2561948097,5489.308473569321,2220631.01386771,0.123225634312113,0.08554485,0.0005532956,2635.95684357443,108056.83991720871,23.787661978569243,138.0103900065341,0.022059867,0.00067639496,135.99917763157896,-1.6695682e-06,0.0043779514,-1.2540529e-05,0.0012907756,trot
